andrewlloydwebber|Andrew Lloyd Webber|Webber, Andrew Lloyd|Webber, Andrew Lloyd|Composer|
andrewwansel|Andrew Wansel|Wansel, Andrew|Wansel, Andrew|Composer|
anerio|Felice Anerio|Anerio, Felice|Anerio, Felice (c1560-1614)|Composer|Renaissance
anfossi|Pasquale Anfossi|Anfossi, Pasquale|Anfossi, Pasquale (1727-1797)|Composer|Classical
angelicarylin|Angelica Rylin|Rylin, Angelica|Rylin, Angelica|Composer|
angeloberardi|Angelo Berardi|Berardi, Angelo|Berardi, Angelo (c1636-1694)|Composer|Baroque
angelomichelebartolotti|Angelo Michele Bartolotti|Bartolotti, Angelo Michele|Bartolotti, Angelo Michele (c1615-1696)|Composer|Baroque
angelotarchi|Angelo Tarchi|Tarchi, Angelo|Tarchi, Angelo (1760-1814)|Composer|Classical
angiolateresamoratoriscanabecchi|Angiola Teresa Moratori Scanabecchi|Scanabecchi, Angiola Teresa Moratori|Scanabecchi, Angiola Teresa Moratori (1662-1708)|Composer|Baroque
angusyoung|Angus Young|Young, Angus|Young, Angus|Composer|
annaamaliaabbessofquedlinburg|Anna Amalia, Abbess of Quedlinburg|Quedlinburg, Anna Amalia, Abbess of|Quedlinburg, Anna Amalia, Abbess of (1723-1787)|Composer|Baroque
annaamaliaduchessofsaxeweimareisenach|Anna Amalia, Duchess of Saxe-Weimar-Eisenach|Saxe-Weimar-Eisenach, Anna Amalia, Duchess of|Saxe-Weimar-Eisenach, Anna Amalia, Duchess of (1739-1807)|Composer|Classical
annaamaliaprincessofprussia|Anna Amalia Princess of Prussia|Prussia, Anna Amalia Princess of|Prussia, Anna Amalia Princess of (1723-1787)|Composer|Classical
annabon divenezia|Anna Bon di Venezia|Venezia, Anna Bon di|Venezia, Anna Bon di (c1739-after 1767)|Composer|Classical
annamurphy|Anna Murphy|Murphy, Anna|Murphy, Anna|Composer|
annarubin|Anna Rubin|Rubin, Anna|Rubin, Anna (b1946)|Composer|20th Century
annasophiemutter|Anna-Sophie Mutter|Mutter, Anna-Sophie||Conductor|
annedanicanphilidor|Anne Danican Philidor|Philidor, Anne Danican|Philidor, Anne Danican (1681-1728)|Composer|Baroque
annelouisebrillondejouy|Anne Louise Brillon de Jouy|Jouy, Anne Louise Brillon de|Jouy, Anne Louise Brillon de (1744-1824)|Composer|Classical
annemariekrumpholtz|Anne-Marie Krumpholtz|Krumpholtz, Anne-Marie|Krumpholtz, Anne-Marie (1766-1813)|Composer|Classical
annepreven|Anne Preven|Preven, Anne|Preven, Anne|Composer|
annettevondrostehulshoff|Annette von Droste-Hülshoff|Droste-Hülshoff, Annette von|Droste-Hülshoff, Annette von (1797-1848)|Composer|Romantic
annibalestablile|Annibale Stablile|Stablile, Annibale|Stablile, Annibale (c1535-1595)|Composer|Renaissance
annvalentine|Ann Valentine|Valentine, Ann|Valentine, Ann (1762-1842)|Composer|Classical
anon19thcenturyenglish|Anon. 19th-Century English|Anon. 19th-Century English|Anon. 19th-Century English|Composer|
anonymous|Anonymous|Anonymous|Anonymous|Composer|
anonymous1281|Anonymous 1281|Anonymous 1281|Anonymous 1281|Composer|
anonymous13thcentury|Anonymous 13th century|Anonymous 13th century|Anonymous 13th century|Composer|
anonymousfrench|Anonymous, French|Anonymous, French|Anonymous, French|Composer|
anspach|Elizabeth Anspach|Anspach, Elizabeth|Anspach, Elizabeth (1750-1828)|Composer|Classical
antaldorati|Antal Dorati|Dorati, Antal||Conductor|
anthoineboesset|Anthoine Boesset|Boesset, Anthoine|Boesset, Anthoine (1586-1643)|Composer|Baroque
anthonivannoordt|Anthoni van Noordt|Noordt, Anthoni van|Noordt, Anthoni van (c1619-1675)|Composer|Baroque
